construmart.cl,"HTTPSConnectionPool(host='construmart.cl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'construmart.cl' doesn't match '*.construmart.cl'"")))","HTTPSConnectionPool(host='construmart.cl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'construmart.cl' doesn't match '*.construmart.cl'"")))"
contdict.ru,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
contratos.gov.co,"HTTPSConnectionPool(host='contratos.gov.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9033cc3910>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='contratos.gov.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f90341c4f70>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
controlsanitario.gob.ec,"HTTPSConnectionPool(host='controlsanitario.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'controlsanitario.gob.ec' doesn't match either of 'www.agricultura.gob.ec', 'agricultura.gob.ec'"")))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
coomeva.com.co,"HTTPSConnectionPool(host='coomeva.com.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f903252da30>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='coomeva.com.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f903392f7c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
copts-united.com,"HTTPSConnectionPool(host='copts-united.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='copts-united.com', port=443): Read timed out. (read timeout=2)"
copyan.com,"HTTPSConnectionPool(host='copyan.com', port=443): Read timed out. (read timeout=2)",No host specified.
cordial.fr,"HTTPSConnectionPool(host='cordial.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.cordial.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
correo.com.uy,"HTTPSConnectionPool(host='correo.com.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='correo.com.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
correodelorinoco.gob.ve,"HTTPSConnectionPool(host='correodelorinoco.gob.ve', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1124)')))","HTTPConnectionPool(host='www.correodelorinoco.gob.ve', port=80): Read timed out. (read timeout=2)"
