archiexpo.es,"HTTPSConnectionPool(host='archiexpo.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1124)')))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
archiexpo.it,"HTTPSConnectionPool(host='archiexpo.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1124)')))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
architectureanddesign.com.au,"HTTPSConnectionPool(host='architectureanddesign.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.architectureanddesign.com.au', port=443): Read timed out. (read timeout=2)"
arcinfo.ch,"HTTPSConnectionPool(host='arcinfo.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.arcinfo.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1124)')))"
arcotampano.it,"HTTPSConnectionPool(host='arcotampano.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8dfb0a8bb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='arcotampano.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8dfa5867f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
arda.or.th,"HTTPSConnectionPool(host='arda.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.arda.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
arenas-architecte.com,"HTTPSConnectionPool(host='arenas-architecte.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='arenas-architecte.com', port=443): Read timed out. (read timeout=2)"
argep.hu,"HTTPSConnectionPool(host='argep.hu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='argep.hu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
army.mil,"HTTPSConnectionPool(host='army.mil', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8dfb190250>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='army.mil', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8df949cbb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
arnes.si,"HTTPSConnectionPool(host='arnes.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8df85e7130>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='arnes.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8df93c8a00>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
