ocn.ne.jp,"HTTPSConnectionPool(host='www.ocn.ne.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.ocn.ne.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
odisseias.com,"HTTPSConnectionPool(host='odisseias.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.odisseias.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
odkazprestarostu.sk,"HTTPSConnectionPool(host='www.odkazprestarostu.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.odkazprestarostu.sk', port=443): Read timed out. (read timeout=2)"
oeticket.com,"HTTPSConnectionPool(host='oeticket.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f33e13f7f40>, 'Connection to oeticket.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='www.oeticket.com', port=80): Read timed out. (read timeout=2)"
offen.net,"HTTPSConnectionPool(host='offen.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.offen.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
office1.bg,"HTTPSConnectionPool(host='www.office1.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.office1.bg', port=443): Read timed out. (read timeout=2)"
officedepot.co.cr,"HTTPSConnectionPool(host='officedepot.co.cr', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='officedepot.co.cr', port=80): Read timed out. (read timeout=2)"
officedepot.com.sv,"HTTPSConnectionPool(host='officedepot.com.sv', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f33e0155d00>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='officedepot.com.sv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f33e22daaf0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
offipalsta.com,"HTTPSConnectionPool(host='offipalsta.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='offipalsta.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
ofppt.ma,"HTTPSConnectionPool(host='ofppt.ma', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f33e26da940>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ofppt.ma', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f33e043ed60>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
