stou.ac.th,"HTTPSConnectionPool(host='stou.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc79a3eca0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='stou.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdc79a53580>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
stradini.lv,"HTTPSConnectionPool(host='stradini.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.stradini.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
straitstimes.com,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
strategy.bg,"HTTPSConnectionPool(host='strategy.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))","HTTPSConnectionPool(host='strategy.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))"
strathmore.edu,"HTTPSConnectionPool(host='strathmore.edu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='strathmore.edu', port=443): Read timed out. (read timeout=2)"
streetrace.org,"HTTPSConnectionPool(host='streetrace.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPConnectionPool(host='arnogaltaverning.ga', port=80): Read timed out. (read timeout=2)"
stroitelipro.ru,"HTTPSConnectionPool(host='stroitelipro.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1131)')))","HTTPConnectionPool(host='stroitelipro.ru', port=80): Read timed out. (read timeout=2)"
strukturnifondovi.hr,"HTTPSConnectionPool(host='strukturnifondovi.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='strukturnifondovi.hr', port=443): Read timed out. (read timeout=2)"
struktuurifondid.ee,"HTTPSConnectionPool(host='struktuurifondid.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='struktuurifondid.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
studentlanka.com,"HTTPSConnectionPool(host='studentlanka.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='studentlanka.com', port=443): Read timed out. (read timeout=2)"
